SCHOOL_YEAR,DATA_LEVEL,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_NAME,SUB_POPULATION,GRADE,FSA_SKILL_CODE,NUMBER_EXPECTED_WRITERS,NUMBER_WRITERS,NUMBER_UNKNOWN,NUMBER_EMERGING,NUMBER_ONTRACK,NUMBER_EXTENDING,SCORE
2007,Province Level,Province-Total,0,Unknown,All Students,4,Numeracy,44494,40030,4025,9368,26006,4656,486.489
2007,Province Level,Province-Total,0,Unknown,Indigenous,4,Numeracy,5627,4832,735,1879,2751,202,440.2537
2007,Province Level,Province-Total,0,Unknown,Non Indigenous,4,Numeracy,38867,35198,3290,7489,23255,4454,492.8362
2007,Province Level,Province-Total,0,Unknown,Diverse Abilities,4,Numeracy,3892,2447,1381,899,1190,358,465.7969
2007,Province Level,Province-Total,0,Unknown,Non Diverse Abilities,4,Numeracy,40602,37583,2644,8469,24816,4298,487.8362
2007,Province Level,BC Public School,0,Unknown,All Students,4,Numeracy,38969,34997,3628,8729,22739,3529,479.9911
2007,Province Level,BC Public School,0,Unknown,Indigenous,4,Numeracy,5208,4514,640,1749,2579,186,440.109
2007,Province Level,BC Public School,0,Unknown,Non Indigenous,4,Numeracy,33761,30483,2988,6980,20160,3343,485.8969
2007,Province Level,BC Public School,0,Unknown,Diverse Abilities,4,Numeracy,3892,2447,1381,899,1190,358,465.7969
2007,Province Level,BC Public School,0,Unknown,Non Diverse Abilities,4,Numeracy,35077,32550,2247,7830,21549,3171,481.0582
2007,Province Level,BC Independent School,0,Unknown,All Students,4,Numeracy,5525,5033,397,639,3267,1127,531.672
2007,Province Level,BC Independent School,0,Unknown,Indigenous,4,Numeracy,419,318,95,130,172,16,442.3082
2007,Province Level,BC Independent School,0,Unknown,Non Indigenous,4,Numeracy,5106,4715,302,509,3095,1111,537.699
2007,Province Level,BC Independent School,0,Unknown,Non Diverse Abilities,4,Numeracy,5525,5033,397,639,3267,1127,531.672
2007,District Level,BC Public School,5,Southeast Kootenay,All Students,4,Numeracy,409,351,56,109,228,14,458.1681
